id,url,title,item_type,conference,year,abstract,paper_url,openreview_url,poster_url,slides_url,threat_pred,context_pred,techniques_pred,industries_pred,context,threat,context_alt,threat_alt,threat_disagreement_assessment,context_disagreement_assessment
18,https://neurips.cc/virtual/2022/poster/55654,PROSPECT: Labeled Tandem Mass Spectrometry Dataset for Machine Learning in Proteomics,Poster,NeurIPS,2022,"Proteomics is the interdisciplinary field focusing on the large-scale study of proteins. Proteins essentially organize and execute all functions within organisms. Today, the bottom-up analysis approach is the most commonly used workflow, where proteins are digested into peptides and subsequently analyzed using Tandem Mass Spectrometry (MS/MS). MS-based proteomics has transformed various fields in life sciences, such as drug discovery and biomarker identification. Today, proteomics is entering a phase where it is helpful for clinical decision-making. Computational methods are vital in turning large amounts of acquired raw MS data into information and, ultimately, knowledge. Deep learning has proved its success in multiple domains as a robust framework for supervised and unsupervised machine learning problems. In proteomics, scientists are increasingly leveraging the potential of deep learning to predict the properties of peptides based on their sequence to improve their confident identification. However, a reference dataset is missing, covering several proteomics tasks, enabling performance comparison, and evaluating reproducibility and generalization. Here, we present a large labeled proteomics dataset spanning several tasks in the domain to address this challenge. We focus on two common applications: peptide retention time and MS/MS spectrum prediction. We review existing methods and task formulations from a machine learning perspective and recommend suitable evaluation metrics and visualizations. With an accessible dataset, we aim to lower the entry barrier and enable faster development in machine learning for proteomics.",,https://openreview.net/forum?id=4nAe0PS7D-l,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/55654.png?t=1669597063.410175,https://neurips.cc/virtual/2022/poster/55654,Not relevant,Defence,"['Proteomics', 'Tandem Mass Spectrometry', 'Machine Learning', 'Deep Learning', 'Proteins', 'Peptides', 'MS/MS Spectrum Prediction', 'Retention Time']","['Proteomics', 'Drug Discovery', 'Biomarker Identification', 'Clinical Decision-making']",,,,,,
22,https://neurips.cc/virtual/2022/poster/55643,"Turning the Tables: Biased, Imbalanced, Dynamic Tabular Datasets for ML Evaluation",Poster,NeurIPS,2022,"Evaluating new techniques on realistic datasets plays a crucial role in the development of ML research and its broader adoption by practitioners. In recent years, there has been a significant increase of publicly available unstructured data resources for computer vision and NLP tasks. However, tabular data — which is prevalent in many high-stakes domains — has been lagging behind. To bridge this gap, we present Bank Account Fraud (BAF), the first publicly available 1 privacy-preserving, large-scale, realistic suite of tabular datasets. The suite was generated by applying state-of-the-art tabular data generation techniques on an anonymized,real-world bank account opening fraud detection dataset. This setting carries a set of challenges that are commonplace in real-world applications, including temporal dynamics and significant class imbalance. Additionally, to allow practitioners to stress test both performance and fairness of ML methods, each dataset variant of BAF contains specific types of data bias. With this resource, we aim to provide the research community with a more realistic, complete, and robust test bed to evaluate novel and existing methods.",,https://openreview.net/forum?id=UrAYT2QwOX8,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/55643.png?t=1669704348.187316,https://neurips.cc/virtual/2022/poster/55643,Not relevant,Not relevant,"['Tabular Data', 'Machine Learning', 'Computer Vision', 'NLP tasks', 'Bank Account Fraud', 'Privacy-preserving', 'Large-scale', 'Realistic', 'Real-world', 'Class Imbalance', 'Data Bias']","['Bank Account Fraud Detection', 'Real-world applications']",,,,,,
28,https://neurips.cc/virtual/2022/poster/55771,AMOS: A Large-Scale Abdominal Multi-Organ Benchmark for Versatile Medical Image Segmentation,Poster,NeurIPS,2022,"Despite the considerable progress in automatic abdominal multi-organ segmentation from CT/MRI scans in recent years, a comprehensive evaluation of the models' capabilities is hampered by the lack of a large-scale benchmark from diverse clinical scenarios. Constraint by the high cost of collecting and labeling 3D medical data, most of the deep learning models to date are driven by datasets with a limited number of organs of interest or samples, which still limits the power of modern deep models and makes it difficult to provide a fully comprehensive and fair estimate of various methods. To mitigate the limitations, we present AMOS, a large-scale, diverse, clinical dataset for abdominal organ segmentation. AMOS provides 500 CT and 100 MRI scans collected from multi-center, multi-vendor, multi-modality, multi-phase, multi-disease patients, each with voxel-level annotations of 15 abdominal organs, providing challenging examples and test-bed for studying robust segmentation algorithms under diverse targets and scenarios. We further benchmark several state-of-the-art medical segmentation models to evaluate the status of the existing methods on this new challenging dataset. We have made our datasets, benchmark servers, and baselines publicly available, and hope to inspire future research. Information can be found at https://amos22.grand-challenge.org.",,https://openreview.net/forum?id=Vk4-HUnkEak,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/55771.png?t=1670294521.1317978,https://neurips.cc/virtual/2022/poster/55771,Not relevant,Not relevant,"['Abdominal Multi-Organ Benchmark', 'Medical Image Segmentation', 'CT/MRI Scans', 'Deep Learning', 'Large-scale', 'Clinical dataset', 'Multi-center', 'Multi-vendor', 'Multi-modality', 'Multi-phase', 'Multi-disease', 'Abdominal organs', 'Segmentation Algorithms']","['Medical Image Segmentation', 'Abdominal organs']",,,,,,
32,https://neurips.cc/virtual/2022/tutorial/55815,Algorithmic fairness: at the intersections,Tutorial,NeurIPS,2022,"As machine learning models permeate every aspect of decision making systems in consequential areas such as healthcare, banking, hiring and education, it has become critical for these models to satisfy trustworthiness desiderata such as fairness, privacy, robustness and interpretability. Initially studied in isolation, recent work has emerged at the intersection of these different fields of research, leading to interesting questions on how fairness can be achieved under privacy, interpretability and robustness constraints. Given the interesting questions that emerge at the intersection of these different fields, this tutorial aims to investigate how these different topics relate, and how they can augment each other to provide better or more suited definitions and mitigation strategies for algorithmic fairness. We are particularly interested in addressing open questions in the field, such as: how algorithmic fairness is compatible with privacy constraints?  What are the trade-offs when we consider algorithmic fairness at the intersection of robustness? Can we develop fair and explainable models? We will also articulate some limitations of technical approaches to algorithmic fairness, and discuss critiques that are coming from outside of computer science.",,,https://neurips.cc/virtual/2022/tutorial/55815,https://neurips.cc/virtual/2022/tutorial/55815,Robustness,Other aspects,"['Algorithmic fairness', 'Machine Learning', 'Decision making systems', 'Healthcare', 'Banking', 'Hiring', 'Education', 'Fairness', 'Privacy', 'Robustness', 'Interpretability', 'Mitigation strategies', 'Open questions', 'Trade-offs', 'Explainable models', 'Limitations', 'Critiques']","['Healthcare', 'Banking', 'Hiring', 'Education']",,,,,,
36,https://neurips.cc/virtual/2022/poster/55765,Robustness Disparities in Face Detection,Poster,NeurIPS,2022,"Facial analysis systems have been deployed by large companies and critiqued by scholars and activists for the past decade. Many existing algorithmic audits examine the performance of these systems on later stage elements of facial analysis systems like facial recognition and age, emotion, or perceived gender prediction; however, a core component to these systems has been vastly understudied from a fairness perspective: face detection, sometimes called face localization. Since face detection is a pre-requisite step in facial analysis systems, the bias we observe in face detection will flow downstream to the other components like facial recognition and emotion prediction. Additionally, no prior work has focused on the robustness of these systems under various perturbations and corruptions, which leaves open the question of how various people are impacted by these phenomena. We present the first of its kind detailed benchmark of face detection systems, specifically examining the robustness to noise of commercial and academic models. We use both standard and recently released academic facial datasets to quantitatively analyze trends in face detection robustness. Across all the datasets and systems, we generally find that photos of individuals who are masculine presenting, older, of darker skin type, or have dim lighting are more susceptible to errors than their counterparts in other identities.",,https://openreview.net/forum?id=UXPXs-OYbks,https://neurips.cc/virtual/2022/poster/55765,https://neurips.cc/virtual/2022/poster/55765,Robustness,Other aspects,"['Face detection', 'Facial analysis systems', 'Facial recognition', 'Emotion prediction', 'Robustness', 'Bias', 'Perturbations', 'Corruptions']",['Facial analysis systems'],,,,,,
37,https://neurips.cc/virtual/2022/tutorial/55809,"Probabilistic Circuits: Representations, Inference, Learning and Applications",Tutorial,NeurIPS,2022,"In several real-world scenarios, decision making involves complex reasoning, i.e., the ability to answer complex probabilistic queries. Moreover, in many sensitive domains like health- care and economical decision making, the result of these queries is required to be exact as approximations without guarantees would make the decision making process brittle. In all these scenarios, tractable probabilistic inference and learning are becoming more and more mandatory. In this tutorial, we will introduce the framework of probabilistic circuits (PCs) under which one can learn deep generative models that guarantee exact inference in polynomial (often linear) time. After certain recent algorithmic and theoretical results, which we will discuss in this tutorial, PCs have achieved impressive results in probabilistic modeling, sometimes outperforming intractable models such as variational autoencoders.  We will show the syntax and semantics of PCs and show how several commonly used ML models -- from Gaussian mixture models to HMMs and decision trees -- can be understood as computational graphs within the PC framework. We will discuss how PCs are special cases of neural networks, when restricting network with certain structural properties enables different tractability scenarios. This unified view of probabilistic ML models opens up a range of ways to learn PCs from data and use them in real-world applications. We will, in fact, provide a unifying view over several algorithms to learn both the structure and parameters of PCs and discuss modern approaches to scale them on GPU. Lastly, we will showcase several successful application scenarios where PCs have been employed as an alternative to or in conjunction with intractable models, including robust image classification, lossless compression, predictions in the presence of missing values, fairness certification, and scene understanding.",,,https://neurips.cc/virtual/2022/tutorial/55809,https://neurips.cc/virtual/2022/tutorial/55809,Not relevant,Other aspects,"['probabilistic circuits', 'probabilistic inference', 'probabilistic learning', 'deep generative models', 'tractable inference', 'computational graphs', 'Gaussian mixture models', 'HMMs', 'decision trees', 'neural networks', 'structural properties', 'tractability', 'scaling', 'GPU', 'robust image classification', 'lossless compression', 'missing values', 'fairness certification', 'scene understanding']","['healthcare', 'economical decision making', 'image classification', 'compression', 'missing values', 'fairness certification', 'scene understanding']",,,,,,
44,https://neurips.cc/virtual/2022/poster/55652,K-Radar: 4D Radar Object Detection for Autonomous Driving in Various Weather Conditions,Poster,NeurIPS,2022,"Unlike RGB cameras that use visible light bands (384∼769 THz) and Lidar that use infrared bands (361∼331 THz), Radars use relatively longer wavelength radio bands (77∼81 GHz), resulting in robust measurements in adverse weathers. Unfortunately, existing Radar datasets only contain a relatively small number of samples compared to the existing camera and Lidar datasets. This may hinder the development of sophisticated data-driven deep learning techniques for Radar-based perception. Moreover, most of the existing Radar datasets only provide 3D Radar tensor (3DRT) data that contain power measurements along the Doppler, range, and azimuth dimensions. As there is no elevation information, it is challenging to estimate the 3D bounding box of an object from 3DRT. In this work, we introduce KAIST-Radar (K-Radar), a novel large-scale object detection dataset and benchmark that contains 35K frames of 4D Radar tensor (4DRT) data with power measurements along the Doppler, range, azimuth, and elevation dimensions, together with carefully annotated 3D bounding box labels of objects on the roads. K-Radar includes challenging driving conditions such as adverse weathers (fog, rain, and snow) on various road structures (urban, suburban roads, alleyways, and highways). In addition to the 4DRT, we provide auxiliary measurements from carefully calibrated high-resolution Lidars, surround stereo cameras, and RTK-GPS. We also provide 4DRT-based object detection baseline neural networks (baseline NNs) and show that the height information is crucial for 3D object detection. And by comparing the baseline NN with a similarly-structured Lidar-based neural network, we demonstrate that 4D Radar is a more robust sensor for adverse weather conditions. All codes are available at https://github.com/kaist-avelab/k-radar.",,https://openreview.net/forum?id=W_bsDmzwaZ7,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/55652.png?t=1669373425.232469,https://neurips.cc/virtual/2022/poster/55652,Robustness,Other aspects,"['Radar', 'Object detection', 'Autonomous driving', 'Weather conditions', 'Deep learning', '4D Radar Tensor', '3D Bounding box', 'Adverse weathers', 'Urban', 'Suburban roads', 'Alleyways', 'Highways', 'Lidar', 'Stereo cameras', 'RTK-GPS']",['Autonomous driving'],,,,,,
82,https://neurips.cc/virtual/2022/poster/52921,Sample-Efficient Reinforcement Learning of Partially Observable Markov Games,Poster,NeurIPS,2022,"This paper considers the challenging tasks of Multi-Agent Reinforcement Learning (MARL) under partial observability, where each agent only sees her own individual observations and actions that reveal incomplete information about the underlying state of system. This paper studies these tasks under the general model of multiplayer general-sum Partially Observable Markov Games (POMGs), which is significantly larger than the standard model of Imperfect Information Extensive-Form Games (IIEFGs). We identify a rich subclass of POMGs---weakly revealing POMGs---in which sample-efficient learning is tractable. In the self-play setting, we prove that a simple algorithm combining optimism and Maximum Likelihood Estimation (MLE) is sufficient to find approximate Nash equilibria, correlated equilibria, as well as coarse correlated equilibria of weakly revealing POMGs, in a polynomial number of samples when the number of agents is small. In the setting of playing against adversarial opponents, we show that a variant of our optimistic MLE algorithm is capable of achieving sublinear regret when being compared against the optimal maximin policies. To our best knowledge, this work provides the first line of sample-efficient results for learning POMGs.",,https://openreview.net/forum?id=HnIQrSY7vPI,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/52921.png?t=1669784560.1691034,https://neurips.cc/virtual/2022/poster/52921,Not relevant,Other aspects,"['Multi-Agent Reinforcement Learning (MARL)', 'Partially Observable Markov Games (POMGs)', 'Imperfect Information Extensive-Form Games (IIEFGs)', 'Nash equilibria', 'Correlated equilibria', 'Coarse correlated equilibria', 'Regret', 'Optimal maximin policies']",['Autonomous Driving'],,,,,,
84,https://neurips.cc/virtual/2022/poster/52933,Tight Analysis of Extra-gradient and Optimistic Gradient Methods For Nonconvex Minimax Problems,Poster,NeurIPS,2022,"Despite the established convergence theory of Optimistic Gradient Descent Ascent (OGDA) and Extragradient (EG) methods for the convex-concave minimax problems, little is known about the theoretical guarantees of these methods in nonconvex settings. To bridge this gap, for the first time, this paper establishes the convergence of OGDA and EG methods under the nonconvex-strongly-concave (NC-SC) and nonconvex-concave (NC-C) settings by providing a unified analysis through the lens of single-call extra-gradient methods. We further establish lower bounds on the convergence of GDA/OGDA/EG, shedding light on the tightness of our analysis. We also conduct experiments supporting our theoretical results. We believe our results will advance the theoretical understanding of OGDA and EG methods for solving complicated nonconvex minimax real-world problems, e.g., Generative Adversarial Networks (GANs) or robust neural networks training.",,https://openreview.net/forum?id=JLweqJeqhSq,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/52933.png?t=1669068701.9364486,https://neurips.cc/virtual/2022/poster/52933,Not relevant,Defence,"['Extra-gradient', 'Optimistic Gradient', 'Nonconvex Minimax', 'OGDA', 'EG', 'NC-SC', 'NC-C', 'Generative Adversarial Networks', 'GANs', 'Robust neural networks']",,Not relevant,Not relevant,Other aspects,Robustness,,
86,https://neurips.cc/virtual/2022/poster/52936,Robust Neural Posterior Estimation and Statistical Model Criticism,Poster,NeurIPS,2022,"Computer simulations have proven a valuable tool for understanding complex phenomena across the sciences. However, the utility of simulators for modelling and forecasting purposes is often restricted by low data quality, as well as practical limits to model fidelity. In order to circumvent these difficulties, we argue that modellers must treat simulators as idealistic representations of the true data generating process, and consequently should thoughtfully consider the risk of model misspecification. In this work we revisit neural posterior estimation (NPE), a class of algorithms that enable black-box parameter inference in simulation models, and consider the implication of a simulation-to-reality gap. While recent works have demonstrated reliable performance of these methods, the analyses have been performed using synthetic data generated by the simulator model itself, and have therefore only addressed the well-specified case. In this paper, we find that the presence of misspecification, in contrast, leads to unreliable inference when NPE is used naïvely. As a remedy we argue that principled scientific inquiry with simulators should incorporate a model criticism component, to facilitate interpretable identification of misspecification and a robust inference component, to fit ‘wrong but useful’ models. We propose robust neural posterior estimation (RNPE), an extension of NPE to simultaneously achieve both these aims, through explicitly modelling the discrepancies between simulations and the observed data. We assess the approach on a range of artificially misspecified examples, and find RNPE performs well across the tasks, whereas naïvely using NPE leads to misleading and erratic posteriors.",,https://openreview.net/forum?id=MHE27tjD8m3,https://neurips.cc/media/PosterPDFs/NeurIPS%202022/52936.png?t=1669822072.5902953,https://neurips.cc/virtual/2022/poster/52936,Robustness,Other aspects,"['Robust neural posterior estimation', 'Statistical model criticism', 'Simulation-to-reality gap', 'Misspecification', 'Inference', 'Simulation models', 'Model criticism', 'Model misspecification']",['Sciences'],,,,,,
